Subject_id,Topics,Levels_key,L1s,Essays
077,SMK0,B1_1,CHN,"﻿ I totally agree with the opinion that smoking should be banned in all the restaurants in the country. There are some reasons as follows. Smoking is a normal phenomenon in the social nowadays. Everyone knows its negative effects, but some men even women can't get rid of it. You will always see someone smoking in the public, because their cravings of tobacco break out and it is too hard to bear it. But both you and I know that if someone around us smokes, we are all affected by the second-hand smoking, especially babies. This behavior can also pollute the atmosphere and do harm to all the people who are served in the restaurant. Restaurants are places for people to eat and enjoy themselves. If people smoke there, those non-smokers will have to bear the terrible smell. The second-hand smoking of course will influence their health. Thus, in my option, we should ban smoking completely at all the restaurants in the country to prevent ourselves from the negative effects of smoking. And it is the government's duty to do something from now on to make the ban possible. Of course, we all should follow the rule and then we can enjoy safe meals in the all the restaurants in the near future."
211,SMK0,B1_1,CHN,"﻿ Personally, I totally agree with this statement. And I have two points here to support my opinion. Firstly, smoking in public places, such as restaurants, is really harmful to the public health. It is widely acknowledged that the second-hand smoking could do significant harm to the people around you. What's more, being a decent person in this developing society requires every individual to take the responsibility to the whole community in every occasion. Therefore, banning smoking at all the restaurant is necessary and it can contribute to both the public health and showing our respect to others. Secondly, banning smoking at restaurants can help to achieve a graceful environment for enjoying a tasty meal and communication. Apparently, in some cases, people go to restaurants for communication rather than food alone. And the stingy smell, such as smoke, can definitely disturb the atmosphere of talking. Anyway, banning smoking at all the restaurant does not indicate that it is inhuman or inconsiderate, having noticed in some restaurants that they provided the customers a rest room to handle their personal need for release themselves. Based on those two points I have stressed, I'm in favor of the policy: Smoking should be completely banned at all the restaurants in China."
145,PTJ0,B1_1,CHN,"﻿As we all know, having a part-time job has increasingly grown in popularity in the last few yeas. It has a meaningful and positive impact on the community you serve. In the meanwhile, it can have many benefits you, too. As soon as I am concerned, there are two reasons to have a part-time job, improve the work experience, reduce the family burden. On the one hand, when you are in part-time job, you will encounter many difficulties, of course, you have to find ways to solve these difficulties. So, over time, when you encounter setbacks, you will face them calmly. This way, when you enter the community, you will face with your work more easily. In today's competitive society, you will have more opportunities to succeed. Therefore, we must participate in part-time actively, it gives us a lot of benefits. On the other hand, our parents provide money for us during our study. However, our parents are hard to make money. We have grown, and I believe we have the ability to earn some money. Thus, the burden of the parents will be reduced. This is also a way to honor our parents. Apart from the two benefits of improving our experience and reducing our parents' burden, there are many other benefits you will find during your part-time job. So it is the time for us all to participate in the part-time job."
322,PTJ0,B1_1,CHN,"﻿ In my point of view, part-time job is a necessity for college students. It is estimated that 30% of the college students have done a part-time job. It will bring us quite a few benefits. First of all, earning money is the primary aim of most people. It can release the financial burden of our parents and even make our college life more comfortable. Secondly, the experience it gives us is quite valuable and precious. Once you have experienced the bitterness that few people have, you would have more understandings of life, study, and what we want to achieve. Surly we will be strong enough to face the challenges. We all know that one day we will inevitably step into society and find a suitable job for ourselves. But, how to cooperate with the colleagues? How to work better? How to get along well with the employer? There are many rules and principles that we can't get in class. And if we learn them now, we will have advantages. Of course, we had better look for a part-time job in spare time, but only on condition that we have managed our courses. The grade should be our top concern. In a word, there are a lot of benefits of doing a part-time job, and we are supposed to arrange learning and doing jobs correctly."
144,PTJ0,B1_1,CHN,"﻿I agree that it is important for college students to have a part-time job. You have a part-time job when you are in college that means you make money by yourself. I think it is a piece of good news for your parents because this way may reduce their pressure. If someone has a job, I think he or she must endeavor to accomplish it. During this process, you will know how difficult your parents make money and you may cherish the money they give you and not waste them. When you do a part-time job, you may meet people who you are not familiar or even do not know, then you will communicate with them and make them understand you. Shortly after, you will find you are good at talking with others, which means you have the ability of communication. By doing a part-time job, you will achieve many qualities. For example, you have to finish a lot of things by yourself and your ability of doing things may improve. What's more, some jobs need you think about many ideas, so your mind also works, your thought is exercised. In addition, you will face different people and different situations, you need overcome all of them, so you should change your ways of solving problems because different conditions have different methods to deal with. Some people may say college students have a part-time job will influence their study, but I want to say that if you find a balance between study and doing a job, you will realize you have a opportunity to adapt to the society after you graduate from the university."
318,SMK0,B1_1,CHN,"﻿I do agree that smoking should be completely banned at all the restaurants in the country. Let's discuss the restaurant first. So what dose restaurant mean? A restaurant means some place where you have a meal. After a lot of tiring work, you must be tired and hungry. You enter a restaurant and you feel better. You take a seat and figure out what you are going to eat, full of happy minds. However, God plays a joke. A big man with a rude face, sitting next to you, smokes as if there is only himself in the restaurant. Unfortunately, the sick dirty cloud drives towards to you. I promise you will get bad emotions back as soon as you sniff it and you will never want to meet the big man again unless you are this kind of impolite people. If smoking can just disturb your minds without other harmful effect, we needn't take pains to ban it. What's worse, smoking is consuming your life. You can google smoking & bad effect and there is no doubt that you will receive millions of results that tells you the deadly effect of smoking. The main cause is lung cancer. When you smoke, the smoke which contains thousands of harmful things goes into your lung and destroys your body from lung to every place in your body. Just imagine that your cells, your tissues and even your heart are damaged by cigarettes you happily smoke. You are killing yourself! It is much worse that you are murdering others through your pleasant cigarettes. Due to those reasons, we can easily conclude that banning smoking is necessary. We all should say no to cigarettes to save ourselves and people around us."
096,PTJ0,B1_1,CHN,"﻿When I was young, I was told by my teacher that for a student, it's more important to learn study-ability than learning knowledge. However, my teacher never pointed out the way of learning study-ability, he only teach us how to win the knowledge competition as other teachers, even he knew the importance of the study-ability. I think Chinese students were just like eggs lived in a tremendous protection system before they stepped into university. College students were better, they were more independent, analytical and original, but still were newborn chicken with a piece eggshell. This was a result of many factors, but that's not my focal point, I wanted to focus on how to help college students get rid of the last eggshell. Actually, the answer always was not unique, hundreds people had thousands ways to make them more mature. For most college students, having a part time job was a wise and effective way to get rid of the last eggshell, to make up the defect of growing up by the over protection system. Having a part time job gave you incentive of working hard because you earned from it ; Having a part time job enriched your college life ; Having a part time job made you more sociable and learned more life experience from it...... Actually I can list a lot of benefits of having a part time job for a college student. But we should notice clearly that the central theme was not how much money you earned, how many friends you made, was the ability you learned from the part-time job, was the ability of studying, was the ability of independence, that's the most important!"
262,PTJ0,B1_1,CHN,"﻿ From my viewpoint, this topic is quite reasonable. As a college student, it is important for he or she to learn the knowledge and skills which usually taught in the society. Though our university provides some access to take part in various activities, making us get to know something different in everyday learning, it is proved to be far from enough. For example, we often hear the news like that lots of graduates cannot find the proper job because of lacking experience or having a wrong attitude towards work. Suppose a graduate had taken a part-time job before, he or she will be much more competitive definitely. Secondly, once a college student takes a part-time job, it often forces he or she to be more independent. In this era, students depend a lot on their parents. However, colleges are usually regarded as proper places to improve the ability of independence, in that way, a part-time job may help a student to be independent in finance. I have to acknowledge a problem doubt by many people that taking a part-time will hog a lot of time used for studying, however, as a college student, I can responsibility say that one student in the college absolutely can spare enough time for working. In a word, taking a part-job in college will greatly help a student in many aspects."
351,SMK0,B1_1,CHN,"﻿There is no doubt that smoking is harmful. It not only does harms to the smokers but also to the people around. Smoking in public is regarded as an impolite behavior. And banning smoking in all the restaurants in the country should be agreed. Restaurants should provide customers a comfortable place to eating. And it is obvious that nonsmokers won't feel at ease when there is a person dragging away. Smoking in the restaurants not only does harms to nonsmokers' health, but also affects their emotions when eating. So it is reasonable to banning smoking in all the restaurants. The ban will make smokers feel unease when eating in the restaurants. This, however, will benefit smokers a lot. They think it to be inconvenient if they smoke, and then they have to think about quit smoking. My father smokes, he has been hooked by over 30 years. He never thought about quit smoking and excused that it is too hard for him to quit smoking. However, he gradually found that it is more and more inconvenient if he smokes because there are more and more NOSMOKING signs in public places. And now, he has to try to quit smoking. Although banning smoking in all the restaurants in the country seems to be very strict for smokers, it benefits both smokers and nonsmokers."
048,SMK0,B1_1,CHN,"﻿I'm totally agree with this statement. I'm a non-smoker. In my opinion, I think smoking in the restaurant should be banned. Firstly, smoking in public does harm to the whole world. It is known to all that smoking causes lots of problems. For example, many diseases, fire disasters and so on. In recent years, the death-rate of lung cancer and heart disease are getting higher and higher. Then, restaurants are public place; each customer has the right to enjoy their time. However, smokers' smoke will pollute the clean air and let other people breathe in harmful gases. So everyone in public should be aware of other people's feelings, don't let your actions cause harm to others. In the end, I would like to say that many countries have taken similar measures, and have gotten well consequent. Now, in our country, more and more people come to realize the risk that second hand smokers will face, so our government should pay attention to this serious situation, in the meantime, take effective measures to solve this problem. This not only protects the residents' personal rights, but also builds a harmonious social atmosphere. It is good for every side. Generally speaking, I am strongly support this idea, and hope it can come true."
